Danio rerio
Danio rerio
Danio rerio
Danio rerio
Danio rerio
Xenopus tropicalis
Xenopus tropicalis
Arabidopsis thaliana
Arabidopsis thaliana
Mus musculus
Arabidopsis thaliana
Sus scrofa
Homo sapiens
Xenopus tropicalis
Danio rerio
Homo sapiens
Danio rerio
Xenopus tropicalis
Xenopus tropicalis
Rattus norvegicus
Rattus norvegicus
Rattus norvegicus
Rattus norvegicus
Rattus norvegicus
Rattus norvegicus
Xenopus laevis
Mus musculus
Arabidopsis thaliana
Arabidopsis thaliana
Dictyostelium discoideum
Dictyostelium discoideum
Homo sapiens
Xenopus tropicalis
Rattus norvegicus
Rattus norvegicus
Sus scrofa
Homo sapiens
Rattus norvegicus
Rattus norvegicus
Danio rerio
Danio rerio
Danio rerio
Danio rerio
Mus musculus
Homo sapiens
Homo sapiens
Mus musculus
Mus musculus
Mus musculus
Mus musculus
Mus musculus
Mus musculus
Mus musculus
Mus musculus
Mus musculus
Mus musculus
Mus musculus
Mus musculus
Mus musculus
Mus musculus
Mus musculus
Mus musculus
Mus musculus
Oryza sativa subsp. japonica
Xenopus tropicalis
Rattus norvegicus
Rattus norvegicus
Rattus norvegicus
Xenopus tropicalis
Rattus norvegicus
Rattus norvegicus
Danio rerio
Caenorhabditis elegans
Caenorhabditis elegans
Oryza sativa subsp. japonica
Caenorhabditis elegans
Xenopus tropicalis
Rattus norvegicus
Rattus norvegicus
Rattus norvegicus
Rattus norvegicus
Rattus norvegicus
Rattus norvegicus
Caenorhabditis elegans
Caenorhabditis elegans
Caenorhabditis elegans
Sus scrofa
Rattus norvegicus
Caenorhabditis elegans
Xenopus tropicalis
Xenopus tropicalis
Rattus norvegicus
Rattus norvegicus
Rattus norvegicus
Rattus norvegicus
Rattus norvegicus
Rattus norvegicus
Rattus norvegicus
Rattus norvegicus
Rattus norvegicus
Rattus norvegicus
Rattus norvegicus
Mus musculus
Mus musculus
Mus musculus
Mus musculus
Mus musculus
Mus musculus
Mus musculus
Mus musculus
Mus musculus
Mus musculus
Mus musculus
Homo sapiens
Mus musculus
Mus musculus
Mus musculus
Mus musculus
Homo sapiens
Homo sapiens
Mus musculus
Mus musculus
Mus musculus
